Variedad;Productor;Fecha_cosecha;Sigla;Evaluacion;Color;Tratamiento;Repetici—n;N_Bayas;Peso;Calibre_Ecuatorial;Calibre_polar;Color pag y dato;L*;a*;b*;c;h;TSS;PH;Gasto;Acidez_titulable;Firmeza
SC;Palo Alto;21-Feb;T0 A R7;E00;A;0h;R7;6;7.79;22.26;23.63;;30.68;7.17;1.09;7.25237892;8.64405227;;;;;223.734
SC;Palo Alto;21-Feb;T0 A R7;E00;A;0h;R7;7;10.21;24.91;27.86;;31.29;9.71;3.16;10.2112536;18.02684085;;;;;249.178
SC;Palo Alto;21-Feb;T0 A R7;E00;A;0h;R7;8;9.54;23.98;26.35;;29.46;2.69;-0.24;2.700685098;354.9016082;;;;;236.406
SC;Palo Alto;21-Feb;T0 A R7;E00;A;0h;R7;9;6.93;21.46;24.36;;32.33;10.60;3.16;11.06099453;16.60001368;;;;;246.881
SC;Palo Alto;21-Feb;T0 A R7;E00;A;0h;R7;10;9.00;23.56;25.57;;30.04;5.50;1.09;5.606968878;11.20973009;;;;;233.949
SC;Palo Alto;21-Feb;T0 A R8;E00;A;0h;R8;1;9.30;23.06;26.80;781.00;29.80;5.63;0.74;5.678424077;7.487959857;18.10;3.50;4.90;0.74;251.324
SC;Palo Alto;21-Feb;T0 A R8;E00;A;0h;R8;2;13.09;27.26;27.99;784.00;29.92;5.93;1.09;6.029344906;10.41534109;;;;;277.09
SC;Palo Alto;21-Feb;T0 A R8;E00;A;0h;R8;3;12.39;26.92;28.37;;33.17;8.75;1.34;8.852011071;8.706793873;;;;;272.975
SC;Palo Alto;21-Feb;T0 A R8;E00;A;0h;R8;4;11.72;25.39;28.35;;32.72;6.04;-1.12;6.142963454;349.4949361;;;;;271.515
SC;Palo Alto;21-Feb;T0 A R8;E00;A;0h;R8;5;10.22;24.75;27.20;;29.64;7.48;1.69;7.668539626;12.73140863;;;;;251.084
SC;Palo Alto;21-Feb;T0 A R8;E00;A;0h;R8;6;9.19;23.74;25.89;;30.78;8.91;2.69;9.307212257;16.79948374;;;;;245.776
SC;Palo Alto;21-Feb;T0 A R8;E00;A;0h;R8;7;9.66;23.86;27.71;;31.18;9.30;2.43;9.612226589;14.64344323;;;;;251.299
SC;Palo Alto;21-Feb;T0 A R8;E00;A;0h;R8;8;10.06;24.63;27.52;;29.93;6.48;1.40;6.629509786;12.19133647;;;;;237.171
SC;Palo Alto;21-Feb;T0 A R8;E00;A;0h;R8;9;12.37;27.06;28.31;;32.45;10.24;3.61;10.85770234;19.41954487;;;;;282.885
SC;Palo Alto;21-Feb;T0 A R8;E00;A;0h;R8;10;10.24;23.95;27.42;;31.79;9.53;2.96;9.979103166;17.25469561;;;;;253.63
SC;Palo Alto;21-Feb;T3 3H V R1;E03;V;3h;R1;1;8.90;24.35;25.20;793.00;29.40;4.59;0.49;4.616080589;6.093465034;17.90;3.58;6.05;0.91;227.303
